Past,EVT,ACRES
Past Conifer,Agricultural,82167
Past Conifer,Conifer,3161600
Past Conifer,Conifer-Hardwood,17736
Past Conifer,Developed,251755
Past Conifer,Exotics,109862
Past Conifer,Grassland,27074
Past Conifer,Hardwood,155039
Past Conifer,Riparian,28507
Past Conifer,Shrubland,242157
Past Grassland,Agricultural,31
Past Grassland,Conifer,321
Past Grassland,Conifer-Hardwood,1
Past Grassland,Developed,142
Past Grassland,Exotics,75
Past Grassland,Grassland,36
Past Grassland,Hardwood,3
Past Grassland,Riparian,236
Past Grassland,Shrubland,10
Past Hardwood,Agricultural,48119
Past Hardwood,Conifer,5281
Past Hardwood,Conifer-Hardwood,104
Past Hardwood,Developed,33163
Past Hardwood,Exotics,14255
Past Hardwood,Grassland,1209
Past Hardwood,Hardwood,6389
Past Hardwood,Riparian,968
Past Hardwood,Shrubland,7807
Past Riparian,Agricultural,14606
Past Riparian,Conifer,47218
Past Riparian,Conifer-Hardwood,612
Past Riparian,Developed,9735
Past Riparian,Exotics,1343
Past Riparian,Grassland,223
Past Riparian,Hardwood,1918
Past Riparian,Riparian,38115
Past Riparian,Shrubland,1370
Past Shrubland,Agricultural,2665
Past Shrubland,Conifer,5086
Past Shrubland,Conifer-Hardwood,14
Past Shrubland,Developed,2205
Past Shrubland,Exotics,1225
Past Shrubland,Grassland,515
Past Shrubland,Hardwood,1391
Past Shrubland,Riparian,457
Past Shrubland,Shrubland,3562
